%TIME (h)	SPD(m/s)	TEMP(F)	DEWP(F)	SLP(mb)
1089	8	57	57	1012.3
1090	8	61	57	1012.6
1091	7	61	59	1012.9
1092	6	63	61	1012.9
1093	11	63	61	1013
1094	13	63	61	1013
1095	13	63	60	1013
1096	10	61	57	1013.1
1097	9	61	57	1013.1
1098	16	57	55	1013.5
1099	15	55	55	1013.6
1100	10	55	55	1013.6
1101	10	55	55	1014.2
1102	10	55	55	1014.2
1103	7	55	55	1014.5
1104	7	57	55	1014.6
1105	6	57	55	1014.2
1106	3	57	55	1014.3
1107	3	57	55	1013.7
1108	3	55	55	1013.3
1109	3	56	56	1013.3
1110	5	57	55	1012.8
1111	7	55	55	1012
1112	6	55	55	1012
1113	5	55	55	1011.8
1114	8	55	55	1011.1
1115	9	57	55	1010.9
1116	9	57	56	1010.9
1117	6	57	57	1011.8
1118	9	57	57	1012
1119	10	57	55	1011.9
1120	9	57	55	1011.3
1121	7	59	55	1010.8
1122	8	59	55	1010.1
1123	8	59	56	1010.1
1124	9	59	55	1009.9
1125	8	61	55	1009.6
1126	8	61	55	1008.9
1127	7	61	55	1008.8
1128	5	59	55	1008.6
1129	5	57	55	1008.8
1130	5	57	56	1008.8
1131	5	61	57	1008.8
1132	14	63	59	1009.2
1133	11	61	59	1009.3
1134	14	61	59	1009.5
1135	14	61	59	1010
1136	11	61	57	1009.9
1137	11	60	58	1009.9
1138	14	59	57	1010.4
1139	10	59	57	1010.6
1140	16	63	55	1011.3
1141	14	63	55	1012.5
1142	13	64	54	1013.4
1143	15	64	54	1014.7
1144	15	65	53	1014.7
1145	13	66	52	1014.7
1146	13	68	52	1015.2
1147	14	72	54	1015
1148	11	73	54	1015.2
1149	10	73	54	1014.7
1150	7	75	54	1014.1
1151	7	76	53	1014.1
1152	13	77	52	1014.2
1153	8	79	54	1014.5
1154	14	79	54	1014.8
1155	7	79	54	1014.6
1156	11	77	50	1015.1
1157	8	75	48	1015.6
1158	8	76	49	1015.6
1159	5	73	48	1015.9
1160	0	72	52	1016.7
1161	5	64	55	1016.4
1162	5	63	55	1016.7
1163	9	66	57	1016.9
1164	8	64	57	1016.5
1165	8	65	57	1016.5
1166	7	64	57	1016.4
1167	3	61	57	1016.2
1168	5	59	57	1016.1
1169	9	61	57	1016.1
1170	3	63	57	1016
1171	11	66	59	1015.8
1172	11	66	59	1015.8
1173	11	70	63	1015.7
1174	13	72	63	1014.8
1175	15	72	63	1014.2
1176	14	73	66	1013.7
1177	19	75	64	1012.9
1178	16	73	64	1012.2
1179	16	74	65	1012.2
1180	16	70	66	1012.3
1181	11	70	70	1011.3
1182	11	70	70	1010.9
1183	11	70	70	1010.3
1184	9	70	70	1010.4
1185	10	68	68	1010.2
1186	10	68	68	1010.2
1187	9	68	68	1010.3
1188	7	66	66	1010.6
1189	9	66	66	1010.2
1190	9	66	66	1010.3
1191	10	68	66	1010.6
1192	9	68	66	1010.4
1193	9	68	67	1010.4
1194	6	66	66	1010.5
1195	7	68	66	1010.5
1196	8	70	66	1010.9
1197	6	70	66	1011.7
1198	7	72	66	1012.3
1199	5	72	66	1012.9
1200	5	71	67	1012.9
1201	8	70	64	1013.5
1202	14	66	63	1014.7
1203	14	64	57	1015.4
1204	9	63	57	1016
1205	11	63	57	1015.8
1206	11	63	58	1015.8
1207	8	63	57	1015.9
1208	8	63	55	1015.9
1209	9	64	55	1015.8
1210	7	63	55	1015.4
1211	7	63	55	1015.5
1212	7	61	57	1015.8
1213	7	60	57	1015.8
1214	5	61	55	1016.3
1215	5	61	57	1016.8
1216	5	61	57	1016.6
1217	0	61	57	1017.1
1218	6	61	59	1017.2
1219	5	61	59	1016.9
1220	5	60	59	1016.9
1221	3	59	59	1016.8
1222	3	59	57	1017
1223	8	57	57	1016.9
1224	7	57	57	1017.2
1225	8	57	57	1017.6
1226	9	59	57	1017.9
1227	9	59	58	1017.9
1228	11	57	57	1018.5
1229	9	57	57	1019
1230	11	57	57	1019
1231	9	57	55	1019.1
1232	10	57	55	1018.6
1233	11	57	55	1018.1
1234	11	57	55	1018.1
1235	14	57	55	1017.6
1236	10	55	55	1017.4
1237	11	55	55	1016.9
1238	13	55	55	1016.2
1239	11	55	55	1015.8
1240	10	55	55	1015.7
1241	10	55	55	1015.7
1242	9	55	55	1015.4
1243	13	55	55	1015.1
1244	11	55	55	1014.8
1245	9	55	55	1014.2
1246	11	55	55	1013.7
1247	8	55	55	1012.9
1248	8	55	55	1012.9
1249	7	55	55	1012.1
1250	7	55	55	1011.4
1251	5	55	55	1010.9
1252	8	55	55	1010.9
1253	9	55	55	1010.9
1254	7	57	57	1010.9
1255	7	57	57	1010.9
1256	7	57	57	1010.8
1257	8	59	57	1010.8
1258	8	61	59	1010.8
1259	7	63	59	1010.3
1260	8	66	61	1010.2
1261	3	68	63	1009.2
1262	3	68	62	1009.2
1263	11	70	63	1008.8
1264	11	68	63	1008.8
1265	10	61	57	1009.8
1266	9	61	57	1009.6
1267	8	61	57	1010.1
1268	6	61	57	1010.4
1269	6	61	58	1010.4
1270	7	59	57	1011
1271	6	57	57	1011.4
1272	0	59	57	1011.8
1273	0	61	57	1011.9
1274	0	57	57	1012
1275	0	57	55	1011.8
1276	0	58	56	1011.8
1277	0	57	55	1011.6
1278	0	55	55	1011.7
1279	3	55	55	1011.8
1280	0	55	55	1012
1281	3	57	57	1012.4
1282	5	63	59	1012.9
1283	5	62	59	1012.9
1284	8	64	61	1013.1
1285	10	63	61	1013.1
1286	10	64	61	1013.2
1287	7	63	59	1013.2
1288	13	64	61	1013.1
1289	9	66	61	1012.7
1290	9	67	60	1012.7
1291	9	68	61	1012.6
1292	10	72	63	1012.7
1293	7	72	61	1012.6
1294	6	66	61	1013.1
1295	3	64	61	1014.4
1296	6	64	59	1015.2
1297	6	64	59	1015.2
1298	8	64	57	1016
1299	16	61	57	1017.8
1300	14	55	55	1019.5
1301	10	55	55	1020.3
1302	11	55	54	1020.9
1303	8	55	52	1021.4
1304	8	55	52	1021.4
1305	7	54	52	1021.9
1306	7	54	52	1022.2
1307	10	54	52	1022.8
1308	8	54	52	1023.5
1309	13	55	50	1024.1
1310	11	57	52	1024.9
1311	11	58	51	1024.9
1312	16	55	52	1025.6
1313	14	57	48	1026
1314	13	57	48	1026.7
1315	14	57	48	1027
1316	11	57	52	1027.2
1317	10	57	48	1027.3
1318	10	58	49	1027.3
1319	11	57	48	1027.4
1320	11	57	48	1027
1321	10	57	48	1026.9
1322	10	57	48	1026.9
1323	8	55	48	1026.5
1324	6	54	48	1026.4
1325	6	54	49	1026.4
1326	8	54	48	1026.4
1327	9	54	48	1026.9
1328	10	52	48	1026.8
1329	9	52	48	1026.9
1330	7	52	48	1027
1331	7	52	48	1026.9
1332	7	51	49	1026.9
1333	8	52	50	1026.8
1334	11	50	48	1026.6
1335	8	50	48	1026.5
1336	7	50	50	1026.7
1337	8	52	50	1026.6
1338	8	54	50	1026.7
1339	8	53	50	1026.7
1340	7	57	52	1026.5
1341	3	61	54	1025.8
1342	7	63	54	1025.3
1343	11	63	55	1024.8
1344	11	63	55	1024
1345	9	66	55	1023.1
1346	9	66	56	1023.1
1347	10	68	55	1022.6
1348	8	70	55	1021.8
1349	14	73	52	1021.1
1350	14	72	52	1020.7
1351	16	68	45	1020.6
1352	16	64	48	1020.6
1353	16	64	49	1020.6
1354	14	63	52	1020.7
1355	14	61	54	1020.8
1356	11	59	54	1020.7
1357	13	57	54	1020.7
1358	11	57	54	1020
1359	15	57	54	1019.7
1360	15	57	54	1019.7
1361	10	57	54	1019.4
1362	10	57	54	1019
1363	7	57	55	1018.6
1364	8	57	55	1018.6
1365	6	61	55	1018.5
1366	8	61	57	1018.5
1367	8	60	57	1018.5
1368	6	61	59	1017.7
1369	7	61	61	1017.2
1370	6	61	61	1016.5
1371	5	63	63	1015.8
1372	14	64	64	1015
1373	14	64	64	1015
1374	14	64	64	1014.6
1375	16	64	63	1014
1376	13	66	64	1013.4
1377	15	66	64	1012.8
1378	11	66	64	1012.6
1379	10	66	63	1012.4
1380	10	66	63	1012.4
1381	9	64	64	1011.9
1382	7	64	64	1012.1
1383	6	64	64	1011.7
1384	5	63	63	1011.2
1385	5	64	64	1010.6
1386	5	64	64	1010.5
1387	5	65	64	1010.5
1388	5	64	64	1010
1389	5	64	64	1009.7
1390	0	64	63	1009.3
1391	5	63	63	1009.4
1392	6	64	64	1009.4
1393	3	66	64	1009.5
1394	3	66	64	1009.5
1395	0	68	64	1009.4
1396	3	68	64	1009.3
1397	8	72	72	1009
1398	8	72	63	1008.9
1399	8	73	63	1008.2
1400	8	73	63	1007.8
1401	8	74	63	1007.8
1402	6	73	63	1007.6
1403	8	74	63	1007.6
1404	6	73	63	1007.3
1405	3	73	63	1007.1
1406	8	74	63	1007.8
1407	6	70	64	1007.2
1408	5	70	64	1007.3
1409	3	68	63	1007.6
1410	3	68	62	1007.6
1411	0	64	63	1007.4
1412	6	64	63	1007.8
1413	0	64	61	1007.8
1414	5	64	61	1008.1
1415	0	61	61	1008
1416	0	61	61	1008.2
1417	0	61	60	1008.2
1418	9	63	63	1008.8
1419	16	63	63	1009.2
1420	14	64	59	1009.6
1421	9	64	57	1010.4
1422	11	66	59	1011.3
1423	13	66	61	1012.1
1424	13	67	60	1012.1
1425	13	66	59	1012.8
1426	11	66	57	1013.7
1427	11	68	57	1013.9
1428	11	70	59	1014.1
1429	11	68	57	1014.2
1430	10	68	59	1014.3
1431	10	68	59	1014.3
1432	9	66	59	1014.2
1433	9	66	57	1014.1
1434	8	66	57	1014.1
1435	7	66	55	1014
1436	6	64	54	1014
1437	5	63	54	1013.8
1438	5	63	53	1013.8
1439	0	63	54	1014.1
1440	0	63	54	1014.2
1441	0	63	54	1014.2
1442	0	61	54	1013.9
1443	0	61	55	1013.9
1444	0	59	55	1014.2
1445	0	59	55	1014.2
1446	3	61	55	1013.9
1447	0	59	55	1013.9
1448	3	59	57	1014.2
1449	5	57	57	1013.8
1450	0	59	55	1014.2
1451	7	63	55	1014.1
1452	5	66	57	1014.4
1453	5	66	57	1014.4
1454	7	63	55	1013.8
1455	5	63	55	1013.7
1456	8	64	55	1013.4
1457	9	63	55	1013
1458	7	63	55	1012.5
1459	7	63	55	1012.5
1460	3	63	55	1012.3
1461	8	63	55	1011.3
1462	7	61	55	1010.9
1463	7	61	55	1011
1464	10	61	55	1010.4
1465	8	61	57	1010.3
1466	8	61	58	1010.3
1467	3	61	57	1010.4
1468	9	59	57	1010.7
1469	11	59	59	1010.2
1470	11	59	59	1009.7
1471	14	59	59	1009.2
1472	13	59	57	1008.8
1473	13	59	58	1008.8
1474	11	59	57	1008.5
1475	10	59	57	1008.2
1476	10	61	57	1007.9
1477	8	59	57	1008.2
1478	10	59	57	1008.3
1479	14	59	57	1008.4
1480	14	59	57	1008.4
1481	13	57	57	1008.3
1482	14	57	57	1008.3
1483	11	61	57	1008
1484	14	59	59	1007.3
1485	15	59	59	1007.4
1486	14	59	59	1007.3
1487	11	57	57	1007
1488	17	57	57	1007.5
1489	15	57	57	1007.4
1490	9	57	57	1006.6
1491	9	57	57	1006.7
1492	10	57	57	1006.7
1493	11	57	57	1006.5
1494	11	57	57	1006.9
1495	11	58	58	1006.9
1496	10	57	57	1006.8
1497	8	59	57	1007
1498	8	57	57	1006.9
1499	5	57	57	1007.3
1500	0	57	57	1006.8
1501	6	57	57	1006.1
1502	6	58	58	1006.1
1503	5	59	57	1006.1
1504	6	58	57	1006.1
1505	0	59	59	1006.3
1506	6	61	59	1006.7
1507	5	61	59	1006.8
1508	8	61	59	1006.9
1509	10	63	61	1007.7
1510	10	62	60	1007.7
1511	6	63	61	1008
1512	10	61	61	1008.3
1513	9	59	59	1008.9
1514	10	61	59	1009
1515	7	61	61	1009.2
1516	6	64	63	1009.2
1517	6	65	62	1009.2
1518	8	66	63	1009.3
1519	8	66	63	1009.4
1520	9	63	59	1009.6
1521	6	61	57	1010
1522	8	59	57	1011.2
1523	8	59	58	1011.2
1524	5	59	57	1012
1525	16	59	57	1012
1526	0	59	59	1012.2
1527	3	59	59	1012.3
1528	5	57	57	1012.7
1529	3	59	59	1012.6
1530	0	59	59	1012.9
1531	0	59	59	1012.9
1532	0	59	59	1012.7
1533	6	61	59	1012.6
1534	0	57	57	1012.8
1535	0	61	61	1013.1
1536	0	63	63	1013.7
1537	0	64	63	1013.8
1538	0	65	63	1013.8
1539	0	70	64	1014.4
1540	5	72	66	1014.2
1541	7	73	68	1014.7
1542	7	73	68	1014.7
1543	8	79	68	1014.7
1544	8	75	66	1014.5
1545	8	76	67	1014.5
1546	9	75	66	1014.2
1547	9	75	64	1014
1548	11	77	63	1013.9
1549	11	75	63	1013.6
1550	10	75	64	1013.3
1551	8	72	64	1013.5
1552	8	71	65	1013.5
1553	11	75	70	1013.7
1554	8	73	66	1014.3
1555	7	72	66	1014.2
1556	8	70	64	1013.9
1557	8	72	66	1013.6
1558	9	70	66	1013.4
1559	3	66	66	1013.6
1560	3	66	64	1013.5
1561	9	70	66	1013
1562	0	64	64	1013.9
1563	5	70	68	1014.1
1564	5	77	68	1014.3
1565	5	77	68	1014.3
1566	0	79	70	1013.9
1567	7	84	66	1013.7
1568	8	88	64	1013.5
1569	7	88	72	1012.9
1570	10	84	70	1012.3
1571	8	88	70	1011.4
1572	8	87	70	1011.4
1573	8	90	68	1011
1574	6	82	70	1011
1575	7	84	68	1010.5
1576	5	88	66	1010.3
1577	3	82	70	1010.4
1578	7	88	66	1010.3
1579	7	88	67	1010.3
1580	7	88	68	1010.4
1581	7	86	66	1010.8
1582	8	84	66	1010.5
1583	8	82	66	1010.4
1584	6	82	66	1010.3
1585	7	81	68	1010.3
1586	7	81	68	1010.3
1587	5	81	70	1010.1
1588	6	79	70	1009.9
1589	8	79	70	1010.1
1590	8	79	70	1010.4
1591	7	81	70	1010.7
1592	5	82	72	1010.8
1593	5	83	71	1010.8
1594	6	84	72	1010.6
1595	8	82	73	1010.5
1596	8	84	73	1010.6
1597	10	82	73	1010.5
1598	10	82	73	1010.5
1599	10	81	72	1009.7
1600	10	81	72	1009.7
1601	8	81	70	1009.5
1602	10	82	70	1009.2
1603	7	84	73	1008.9
1604	5	82	73	1008.7
1605	3	81	72	1008.5
1606	6	79	72	1008.7
1607	6	79	71	1008.7
1608	6	75	72	1008.7
1609	6	81	72	1008.9
1610	8	79	72	1008.8
1611	9	79	72	1008.6
1612	7	75	70	1008.4
1613	5	75	72	1008.1
1614	5	75	71	1008.1
1615	3	73	72	1007.8
1616	6	73	72	1007.6
1617	6	73	72	1007.8
1618	6	73	72	1007.9
1619	7	75	72	1008
1620	3	79	73	1008.1
1621	3	78	73	1008.1
1622	7	82	73	1007.9
1623	8	82	75	1007.7
1624	9	84	75	1007.4
1625	8	84	75	1007
1626	9	88	75	1006.6
1627	16	90	75	1006.4
1628	16	90	75	1006.4
1629	15	90	75	1006
1630	10	90	75	1005.8
1631	16	93	70	1006
1632	10	75	70	1006.3
1633	3	75	68	1006.6
1634	6	81	72	1007
1635	6	80	71	1007
1636	3	79	72	1007.6
1637	16	84	70	1008.6
1638	15	82	66	1009.2
1639	11	81	66	1009.7
1640	13	75	66	1010.4
1641	9	75	63	1011.2
1642	9	75	62	1011.2
1643	14	73	57	1011.7
1644	13	72	54	1011.6
1645	10	70	54	1012.6
1646	13	70	55	1013.8
1647	10	70	55	1014.8
1648	10	70	55	1015.6
1649	10	70	56	1015.6
1650	8	72	57	1016.2
1651	9	75	59	1016.6
1652	9	75	61	1016.8
1653	5	79	59	1016.5
1654	9	77	61	1016.5
1655	10	75	61	1016.8
1656	10	76	60	1016.8
1657	9	77	63	1016.9
1658	10	79	61	1017
1659	9	75	61	1017.3
1660	10	73	61	1017.5
1661	8	77	63	1017.9
1662	8	77	63	1018.3
1663	8	77	62	1018.3
1664	10	73	63	1018.9
1665	8	72	64	1019.6
1666	7	72	64	1019.8
1667	7	70	63	1020.1
1668	9	70	63	1020.3
1669	9	68	63	1020.3
1670	9	68	62	1020.3
1671	7	66	61	1020.3
1672	5	66	61	1020.3
1673	6	64	63	1020.6
1674	7	66	61	1020.8
1675	6	66	63	1021.2
1676	6	68	63	1021.6
1677	6	68	63	1021.6
1678	7	70	63	1021.9
1679	6	73	64	1021.7
1680	3	73	64	1021.6
1681	9	73	68	1022.2
1682	13	81	64	1021.6
1683	10	79	63	1021.2
1684	10	78	62	1021.2
1685	10	79	64	1021
1686	11	81	63	1020.4
1687	13	81	63	1020.1
1688	14	79	63	1019.7
1689	14	77	63	1019.8
1690	11	75	57	1020.1
1691	11	75	57	1020.1
1692	13	72	57	1019.9
1693	11	72	59	1019.9
1694	13	72	57	1019.9
1695	13	70	57	1019.6
1696	10	68	59	1019.7
1697	11	68	61	1019.2
1698	11	68	61	1019.2
1699	9	66	63	1018.8
1700	11	66	64	1018.4
1701	8	66	64	1018.6
1702	5	66	66	1018.6
1703	9	70	66	1019
1704	9	73	70	1018.9
1705	9	73	69	1018.9
1706	5	73	68	1019.3
1707	9	77	70	1018.5
1708	8	81	72	1017.8
1709	11	82	72	1017.5
1710	13	84	70	1017.1
1711	11	84	70	1016.4
1712	11	85	69	1016.4
1713	11	84	66	1015.9
1714	14	84	66	1015.6
1715	13	82	66	1015.8
1716	16	82	66	1015.8
1717	10	79	66	1015.8
1718	13	79	64	1016.1
1719	13	78	64	1016.1
1720	10	77	61	1016.6
1721	14	75	61	1017.3
1722	10	73	57	1017.6
1723	11	73	57	1018.2
1724	11	72	57	1018.3
1725	9	70	59	1018.1
1726	9	70	59	1018.1
1727	7	68	59	1018.1
1728	5	66	59	1018.2
1729	3	64	57	1018.4
1730	6	66	59	1018.5
1731	8	70	57	1018.7
1732	6	73	59	1018.9
1733	6	73	59	1018.9
1734	8	75	59	1018.9
1735	5	77	57	1018.9
1736	3	79	61	1018.7
1737	10	79	57	1018.1
1738	13	75	61	1017.8
1739	9	77	61	1017
1740	9	77	61	1017
1741	13	73	63	1016.6
1742	10	75	64	1016.1
1743	8	79	63	1015.6
1744	14	82	57	1015
1745	10	81	55	1014.7
1746	14	75	63	1014.9
1747	14	76	62	1014.9
1748	10	73	63	1015.3
1749	10	73	61	1015.7
1750	11	72	61	1015.6
1751	8	70	61	1015.5
1752	8	68	61	1015.2
1753	9	68	61	1014.8
1754	9	68	60	1014.8
1755	6	66	61	1015
1756	0	66	61	1015.1
1757	8	66	61	1015.2
1758	9	66	59	1015.4
1759	5	70	59	1015.7
1760	6	73	61	1015.6
1761	6	73	60	1015.6
1762	0	77	61	1015.7
1763	7	77	63	1015.5
1764	8	79	61	1015.8
1765	14	77	61	1015.7
1766	14	73	63	1015.3
1767	11	73	63	1015.1
1768	11	74	63	1015.1
1769	9	75	64	1014.6
1770	13	75	64	1013.8
1771	15	75	64	1013.5
1772	9	75	66	1012.8
1773	13	79	61	1013.1
1774	13	75	61	1013.3
1775	13	76	60	1013.3
1776	11	73	63	1013.5
1777	9	72	63	1013.6
1778	9	72	63	1013.5
1779	9	70	63	1013.2
1780	10	68	63	1012.8
1781	9	70	63	1012.8
1782	9	69	63	1012.8
1783	9	70	63	1012.8
1784	8	72	63	1012.8
1785	6	68	63	1013
1786	11	70	63	1013
1787	11	72	61	1013.2
1788	11	73	61	1013
1789	11	74	61	1013
1790	14	79	57	1012.8
1791	17	79	61	1013.6
1792	19	79	64	1013.6
1793	18	81	64	1013.5
1794	14	81	64	1012.9
1795	15	81	66	1012.6
1796	15	81	67	1012.6
1797	14	81	68	1012.3
1798	13	81	70	1012
1799	16	75	70	1011.8
1800	10	72	68	1011.8
1801	6	70	70	1011.4
1802	6	68	68	1011
1803	6	68	68	1011
1804	7	66	66	1011.1
1805	7	66	66	1011.2
1806	0	66	66	1010.9
1807	6	68	68	1010.9
1808	6	70	70	1010.6
1809	6	70	68	1010.2
1810	6	69	68	1010.2
1811	7	70	68	1010.1
1812	11	69	68	1010.1
1813	6	68	68	1010.1
1814	6	68	68	1010
1815	6	69	68	1010.2
1816	6	70	66	1010.1
1817	6	70	68	1010.5
1818	8	72	68	1010.4
1819	8	71	68	1010.4
1820	3	73	70	1010.4
1821	3	77	70	1010
1822	7	79	72	1009.5
1823	10	81	73	1009.1
1824	10	81	72	1008.8
1825	11	82	72	1008.2
1826	11	82	72	1008.2
1827	9	82	72	1008.4
1828	13	82	72	1007.6
1829	7	82	72	1007.2
1830	5	86	68	1006.9
1831	11	88	70	1007
1832	14	82	73	1007.2
1833	14	83	74	1007.2
1834	8	81	75	1007.5
1835	11	81	73	1008.1
1836	13	81	73	1008.1
1837	9	79	73	1008
1838	8	79	72	1008.1
1839	8	78	72	1008.1
1840	9	77	72	1008
1841	9	77	70	1008.1
1842	8	75	70	1008.3
1843	8	75	70	1008.4
1844	7	77	70	1008.6
1845	7	81	72	1008.3
1846	7	80	71	1008.3
1847	10	84	72	1008.2
1848	11	84	72	1007.7
1849	13	88	72	1007.5
1850	11	90	72	1007.2
1851	15	91	72	1007.2
1852	17	93	72	1006.8
1853	17	93	72	1006.8
1854	15	91	72	1006.9
1855	16	91	72	1006.7
1856	11	91	70	1006.2
1857	19	90	70	1006.2
1858	15	90	70	1006.4
1859	14	88	72	1006.8
1860	14	87	71	1006.8
1861	13	84	72	1007.1
1862	14	84	72	1007.1
1863	11	84	73	1007.3
1864	8	82	72	1007.3
1865	9	82	72	1007.6
1866	11	82	70	1007.9
1867	10	81	70	1007.5
1868	10	81	69	1007.5
1869	8	81	70	1007.4
1870	7	79	70	1007.6
1871	7	79	70	1007.8
1872	6	79	70	1008.1
1873	10	79	72	1008.6
1874	11	81	72	1009
1875	11	80	71	1009
1876	14	82	70	1009
1877	11	84	70	1009.3
1878	8	88	68	1009.2
1879	10	90	63	1008.9
1880	7	90	64	1008.6
1881	11	90	61	1008.6
1882	11	89	61	1008.6
1883	17	91	61	1008.6
1884	11	91	61	1009
1885	16	91	59	1008.8
1886	11	91	61	1009
1887	13	90	57	1009.4
1888	11	88	61	1010.1
1889	13	84	64	1010.8
1890	9	84	64	1011.6
1891	3	81	63	1014.1
1892	7	82	64	1011.9
1893	8	81	64	1012.1
1894	7	81	66	1012.5
1895	8	79	64	1012.5
1896	5	75	66	1012.8
1897	6	75	64	1012.8
1898	0	72	64	1013.4
1899	0	70	64	1013.8
1900	3	77	64	1014.1
1901	3	81	63	1014.1
1902	3	81	63	1014.1
1903	6	79	64	1014.3
1904	7	75	64	1014.2
1905	10	79	63	1014.2
1906	10	79	64	1014
1907	11	79	66	1013.8
1908	13	77	66	1013.5
1909	13	77	67	1013.5
1910	13	75	70	1013
1911	14	77	70	1012.6
1912	14	73	70	1012
1913	10	72	70	1011.9
1914	7	72	70	1011.8
1915	6	72	70	1012.1
1916	6	72	69	1012.1
1917	3	72	68	1012.1
1918	3	72	70	1012.4
1919	3	72	70	1012.2
1920	3	70	66	1011.8
1921	6	70	68	1011.4
1922	5	72	70	1011
1923	5	72	70	1011
1924	6	72	72	1010.9
1925	7	70	70	1010.7
1926	6	73	72	1010.9
1927	0	72	70	1010.8
1928	5	75	72	1010.8
1929	6	79	72	1010.9
1930	6	78	72	1010.9
1931	10	81	72	1010.7
1932	9	84	72	1010.2
1933	8	86	70	1010.1
1934	10	90	72	1010
1935	8	86	72	1010
1936	8	90	72	1009.7
1937	8	89	71	1009.7
1938	13	90	70	1009
1939	11	90	70	1008.6
1940	13	90	68	1007.9
1941	16	88	68	1008.1
1942	13	86	70	1007.9
1943	10	84	70	1007.7
1944	10	85	70	1007.7
1945	13	82	72	1007.8
1946	15	82	72	1008.5
1947	13	81	72	1008.8
1948	11	81	72	1008.9
1949	7	77	72	1008.9
1950	9	79	64	1009.1
1951	9	79	65	1009.1
1952	10	79	59	1009.3
1953	9	75	59	1009.6
1954	7	75	57	1009.8
1955	8	75	57	1010.4
1956	7	75	57	1010.8
1957	8	77	57	1010.7
1958	8	77	58	1010.7
1959	9	79	57	1011.3
1960	8	81	61	1011
1961	8	77	58	1010.7
1962	7	77	63	1011.6
1963	11	75	64	1012.1
1964	11	73	70	1012.8
1965	8	66	64	1012.8
1966	8	67	65	1012.8
1967	9	68	64	1013.5
1968	7	70	63	1012.7
1969	9	68	63	1012.9
1970	7	70	64	1013
1971	7	70	63	1013.2
1972	0	70	63	1013.5
1973	0	69	63	1013.5
1974	3	66	63	1013.8
1975	8	64	63	1015
1976	6	64	63	1015.3
1977	3	64	64	1015.6
1978	8	66	64	1015.4
1979	0	66	63	1015.5
1980	0	66	63	1015.5
1981	0	61	61	1015.7
1982	0	61	61	1015.8
1983	0	61	61	1016.4
1984	6	63	63	1017.5
1985	7	64	63	1017.4
1986	10	66	59	1017.9
1987	10	66	59	1017.9
1988	13	70	55	1018.3
1989	14	70	57	1018.7
1990	13	70	61	1018.9
1991	15	72	61	1019
1992	11	72	61	1018.7
1993	14	72	61	1018
1994	14	72	61	1018
1995	15	72	61	1017.4
1996	13	72	63	1017
1997	13	70	63	1016.6
1998	11	66	63	1016.4
1999	10	66	63	1016.3
2000	10	64	63	1015.9
2001	10	65	62	1015.9
2002	7	64	63	1016.1
2003	7	64	63	1016.4
2004	8	64	63	1015.7
2005	7	64	63	1015.5
2006	9	65	64	1013.8
2007	8	64	64	1014.5
2008	9	64	64	1013.8
2009	9	65	64	1013.8
2010	8	64	64	1012.9
2011	9	64	63	1012.4
2012	9	64	63	1012
2013	9	63	63	1011.4
2014	10	63	63	1011.4
2015	13	63	63	1011.4
2016	13	64	64	1010.4
2017	10	64	64	1010.4
2018	11	64	64	1010.4
2019	9	64	64	1010.4
2020	8	64	64	1010.4
2021	9	64	64	1010.4
2022	8	64	64	1008.4
2023	8	65	65	1008.4
2024	8	65	65	1008.4
2025	8	65	65	1008.3
2026	9	65	65	1008.3
2027	13	65	65	1008.3
2028	11	61	61	1008.3
2029	10	61	61	1009
2030	9	61	61	1009.7
2031	9	60	60	1009.7
2032	7	61	61	1010
2033	3	61	61	1010.3
2034	6	59	59	1010
2035	5	59	59	1010.1
2036	6	61	61	1009.9
2037	3	59	59	1010.3
2038	3	59	59	1010.3
2039	3	59	59	1010.3
2040	3	59	59	1010.4
2041	0	59	59	1010.6
2042	6	59	59	1010.8
2043	5	59	59	1011
2044	5	59	59	1011
2045	5	59	59	1011
2046	5	59	59	1011
2047	5	64	64	1011.7
2048	6	72	66	1011.4
2049	8	73	68	1011.1
2050	18	82	63	1010.4
2051	19	84	61	1010
2052	19	85	61	1010
2053	18	84	61	1010
2054	19	84	59	1009.9
2055	17	84	61	1010
2056	19	82	63	1010
2057	18	79	64	1010.6
2058	15	79	64	1011.2
2059	15	78	64	1011.2
2060	11	73	64	1012
2061	11	72	64	1012.8
2062	9	72	64	1013.2
2063	9	70	64	1013.5
2064	9	70	66	1013.6
2065	8	68	66	1013.7
2066	8	68	67	1013.7
2067	9	70	66	1013.7
2068	10	70	66	1013.9
2069	5	66	66	1014.6
2070	5	66	66	1015.3
2071	3	68	66	1015.5
2072	6	72	61	1016.1
2073	6	72	61	1016.1
2074	6	75	61	1016.2
2075	3	77	61	1016.3
2076	8	75	63	1016.8
2077	7	81	63	1016.8
2078	7	81	64	1016.4
2079	10	82	63	1016.1
2080	10	82	63	1016.1
2081	17	84	61	1016.2
2082	10	82	63	1016.1
2083	13	82	61	1016.5
2084	13	82	59	1016.6
2085	13	82	61	1016.5
2086	11	81	61	1017.3
2087	11	79	61	1017.9
2088	11	78	60	1017.9
2089	11	75	59	1018.9
2090	11	75	61	1020
2091	11	73	61	1020.5
2092	10	72	61	1020.9
2093	8	72	61	1021.2
2094	8	70	61	1021.5
2095	8	70	60	1021.5
2096	7	70	61	1021.6
2097	6	68	61	1021.8
2098	5	66	61	1022.5
2099	6	64	63	1022.9
2100	5	66	61	1023.2
